digit,set,logp
0,train,-224.6652069
0,train,-537.7192383
0,train,-172.6083069
0,train,-180.7700653
0,train,-234.7949066
1,train,-64.26126099
1,train,-358.3619385
1,train,-175.3321686
1,train,-71.77334595
1,train,-59.90266418
2,train,-389.6112976
2,train,-208.4588318
2,train,-197.6086273
2,train,-311.0909424
2,train,-399.1987
3,train,-306.0822144
3,train,-168.8998413
3,train,-182.2688446
3,train,-241.084549
3,train,-185.8100586
4,train,-215.8221436
4,train,-245.6772003
4,train,-355.2502441
4,train,-187.3685303
4,train,-226.8562164
5,train,-391.7717896
5,train,-470.4003601
5,train,-250.9489136
5,train,-271.6618652
5,train,-300.8980103
6,train,-137.2778931
6,train,-143.7174225
6,train,-289.6693115
6,train,-169.7431335
6,train,-298.0081482
7,train,-114.064415
7,train,-179.3879547
7,train,-171.6251221
7,train,-178.3000336
7,train,-148.1761017
8,train,-386.6609497
8,train,-575.854248
8,train,-318.7094116
8,train,-330.9076538
8,train,-262.8068542
9,train,-276.6489868
9,train,-158.3925323
9,train,-291.8027039
9,train,-146.6410522
9,train,-223.3675232
0,test,-241.6159821
0,test,-155.4848938
0,test,-198.3577271
0,test,-309.3970337
0,test,-227.8636475
1,test,-51.29891586
1,test,-48.40106201
1,test,-94.14344788
1,test,-96.97506714
1,test,-70.26802063
2,test,-316.765564
2,test,-480.7812805
2,test,-409.4275513
2,test,-304.752655
2,test,-301.6840515
3,test,-328.1913452
3,test,-296.1029053
3,test,-191.0071869
3,test,-242.2774963
3,test,-336.6437073
4,test,-160.1600952
4,test,-348.7374268
4,test,-143.213089
4,test,-182.9494476
4,test,-171.3136444
5,test,-667.1856689
5,test,-297.0134583
5,test,-257.579071
5,test,-227.7387238
5,test,-270.8473511
6,test,-365.792511
6,test,-183.0083313
6,test,-336.3518372
6,test,-154.1005707
6,test,-432.4194336
7,test,-137.430603
7,test,-181.0052795
7,test,-163.0984039
7,test,-157.4428101
7,test,-302.6636658
8,test,-379.5921021
8,test,-436.3327332
8,test,-229.1289673
8,test,-237.9017639
8,test,-235.61763
9,test,-303.3878479
9,test,-184.5482483
9,test,-133.050705
9,test,-175.2106934
9,test,-151.7899933
